,éûçè,ÉGÉäÉAÉvÉâÉCÉXñkäCìπ(â~/kWh)
0,2021-12-05 0:30:00,11.16
1,2021-12-05 1:00:00,11.16
2,2021-12-05 1:30:00,11.64
3,2021-12-05 2:00:00,11.64
4,2021-12-05 2:30:00,12.23
5,2021-12-05 3:00:00,12.52
6,2021-12-05 3:30:00,12.51
7,2021-12-05 4:00:00,12.8
8,2021-12-05 4:30:00,13.45
9,2021-12-05 5:00:00,15.95
10,2021-12-05 5:30:00,16.17
11,2021-12-05 6:00:00,16.17
12,2021-12-05 6:30:00,15.79
13,2021-12-05 7:00:00,16.18
14,2021-12-05 7:30:00,15.79
15,2021-12-05 8:00:00,13.6
16,2021-12-05 8:30:00,10.69
17,2021-12-05 9:00:00,10.69
18,2021-12-05 9:30:00,7.66
19,2021-12-05 10:00:00,8.83
20,2021-12-05 10:30:00,7.47
21,2021-12-05 11:00:00,7.36
22,2021-12-05 11:30:00,7.28
23,2021-12-05 12:00:00,7.17
24,2021-12-05 12:30:00,7.26
25,2021-12-05 13:00:00,7.15
26,2021-12-05 13:30:00,7.4
27,2021-12-05 14:00:00,6.79
28,2021-12-05 14:30:00,8.28
29,2021-12-05 15:00:00,10.69
30,2021-12-05 15:30:00,10.69
31,2021-12-05 16:00:00,10.69
32,2021-12-05 16:30:00,12.79
33,2021-12-05 17:00:00,16.46
34,2021-12-05 17:30:00,21.68
35,2021-12-05 18:00:00,27.04
36,2021-12-05 18:30:00,28.18
37,2021-12-05 19:00:00,25.11
38,2021-12-05 19:30:00,17.55
39,2021-12-05 20:00:00,24.82
40,2021-12-05 20:30:00,27.29
41,2021-12-05 21:00:00,27.15
42,2021-12-05 21:30:00,16.92
43,2021-12-05 22:00:00,16.6
44,2021-12-05 22:30:00,16.17
45,2021-12-05 23:00:00,15.72
46,2021-12-05 23:30:00,15.35
47,2021-12-06 00:00:00,11.07
