,éûçè,ÉGÉäÉAÉvÉâÉCÉXñkäCìπ(â~/kWh)
0,2021-11-28 0:30:00,15.6
1,2021-11-28 1:00:00,13.47
2,2021-11-28 1:30:00,13.68
3,2021-11-28 2:00:00,13.66
4,2021-11-28 2:30:00,13.69
5,2021-11-28 3:00:00,13.71
6,2021-11-28 3:30:00,13.68
7,2021-11-28 4:00:00,13.55
8,2021-11-28 4:30:00,13.55
9,2021-11-28 5:00:00,13.64
10,2021-11-28 5:30:00,13.71
11,2021-11-28 6:00:00,13.79
12,2021-11-28 6:30:00,13.89
13,2021-11-28 7:00:00,13.9
14,2021-11-28 7:30:00,13.89
15,2021-11-28 8:00:00,13.89
16,2021-11-28 8:30:00,14.01
17,2021-11-28 9:00:00,13.58
18,2021-11-28 9:30:00,9.12
19,2021-11-28 10:00:00,9.08
20,2021-11-28 10:30:00,8.88
21,2021-11-28 11:00:00,7.49
22,2021-11-28 11:30:00,7.23
23,2021-11-28 12:00:00,5.93
24,2021-11-28 12:30:00,7.23
25,2021-11-28 13:00:00,6.07
26,2021-11-28 13:30:00,7.67
27,2021-11-28 14:00:00,8.23
28,2021-11-28 14:30:00,8.85
29,2021-11-28 15:00:00,9.55
30,2021-11-28 15:30:00,12.98
31,2021-11-28 16:00:00,13.89
32,2021-11-28 16:30:00,13.9
33,2021-11-28 17:00:00,13.91
34,2021-11-28 17:30:00,14.0
35,2021-11-28 18:00:00,14.43
36,2021-11-28 18:30:00,18.41
37,2021-11-28 19:00:00,20.01
38,2021-11-28 19:30:00,20.18
39,2021-11-28 20:00:00,14.35
40,2021-11-28 20:30:00,20.18
41,2021-11-28 21:00:00,15.65
42,2021-11-28 21:30:00,13.97
43,2021-11-28 22:00:00,13.9
44,2021-11-28 22:30:00,16.32
45,2021-11-28 23:00:00,13.99
46,2021-11-28 23:30:00,14.83
47,2021-11-29 00:00:00,14.0
