,éûçè,ÉGÉäÉAÉvÉâÉCÉXñkäCìπ(â~/kWh)
0,2021-11-25 0:30:00,16.26
1,2021-11-25 1:00:00,13.91
2,2021-11-25 1:30:00,14.88
3,2021-11-25 2:00:00,14.24
4,2021-11-25 2:30:00,14.88
5,2021-11-25 3:00:00,14.88
6,2021-11-25 3:30:00,14.01
7,2021-11-25 4:00:00,13.84
8,2021-11-25 4:30:00,13.81
9,2021-11-25 5:00:00,13.84
10,2021-11-25 5:30:00,13.71
11,2021-11-25 6:00:00,13.91
12,2021-11-25 6:30:00,13.98
13,2021-11-25 7:00:00,26.01
14,2021-11-25 7:30:00,26.18
15,2021-11-25 8:00:00,14.43
16,2021-11-25 8:30:00,17.35
17,2021-11-25 9:00:00,14.14
18,2021-11-25 9:30:00,15.73
19,2021-11-25 10:00:00,13.7
20,2021-11-25 10:30:00,13.43
21,2021-11-25 11:00:00,11.0
22,2021-11-25 11:30:00,13.26
23,2021-11-25 12:00:00,13.16
24,2021-11-25 12:30:00,10.28
25,2021-11-25 13:00:00,10.32
26,2021-11-25 13:30:00,14.01
27,2021-11-25 14:00:00,16.99
28,2021-11-25 14:30:00,18.28
29,2021-11-25 15:00:00,22.14
30,2021-11-25 15:30:00,13.99
31,2021-11-25 16:00:00,25.68
32,2021-11-25 16:30:00,33.78
33,2021-11-25 17:00:00,54.29
34,2021-11-25 17:30:00,50.0
35,2021-11-25 18:00:00,35.0
36,2021-11-25 18:30:00,33.78
37,2021-11-25 19:00:00,25.97
38,2021-11-25 19:30:00,26.16
39,2021-11-25 20:00:00,23.83
40,2021-11-25 20:30:00,28.09
41,2021-11-25 21:00:00,28.46
42,2021-11-25 21:30:00,26.77
43,2021-11-25 22:00:00,14.43
44,2021-11-25 22:30:00,20.01
45,2021-11-25 23:00:00,14.06
46,2021-11-25 23:30:00,13.82
47,2021-11-26 00:00:00,13.87
