,éûçè,ÉGÉäÉAÉvÉâÉCÉXñkäCìπ(â~/kWh)
0,2021-12-16 0:30:00,13.27
1,2021-12-16 1:00:00,14.05
2,2021-12-16 1:30:00,16.0
3,2021-12-16 2:00:00,16.74
4,2021-12-16 2:30:00,16.74
5,2021-12-16 3:00:00,16.72
6,2021-12-16 3:30:00,16.7
7,2021-12-16 4:00:00,14.35
8,2021-12-16 4:30:00,16.0
9,2021-12-16 5:00:00,16.74
10,2021-12-16 5:30:00,16.68
11,2021-12-16 6:00:00,22.33
12,2021-12-16 6:30:00,16.83
13,2021-12-16 7:00:00,17.64
14,2021-12-16 7:30:00,17.64
15,2021-12-16 8:00:00,20.01
16,2021-12-16 8:30:00,17.64
17,2021-12-16 9:00:00,17.65
18,2021-12-16 9:30:00,17.86
19,2021-12-16 10:00:00,17.63
20,2021-12-16 10:30:00,14.67
21,2021-12-16 11:00:00,12.0
22,2021-12-16 11:30:00,12.0
23,2021-12-16 12:00:00,10.6
24,2021-12-16 12:30:00,7.41
25,2021-12-16 13:00:00,7.41
26,2021-12-16 13:30:00,7.6
27,2021-12-16 14:00:00,14.27
28,2021-12-16 14:30:00,17.86
29,2021-12-16 15:00:00,21.42
30,2021-12-16 15:30:00,17.63
31,2021-12-16 16:00:00,22.84
32,2021-12-16 16:30:00,20.88
33,2021-12-16 17:00:00,23.57
34,2021-12-16 17:30:00,25.0
35,2021-12-16 18:00:00,23.8
36,2021-12-16 18:30:00,23.8
37,2021-12-16 19:00:00,25.0
38,2021-12-16 19:30:00,24.66
39,2021-12-16 20:00:00,17.72
40,2021-12-16 20:30:00,17.64
41,2021-12-16 21:00:00,17.64
42,2021-12-16 21:30:00,17.63
43,2021-12-16 22:00:00,16.68
44,2021-12-16 22:30:00,16.63
45,2021-12-16 23:00:00,15.71
46,2021-12-16 23:30:00,14.22
47,2021-12-17 00:00:00,10.69
