,éûçè,ÉGÉäÉAÉvÉâÉCÉXñkäCìπ(â~/kWh)
0,2021-10-08 0:30:00,11.34
1,2021-10-08 1:00:00,10.33
2,2021-10-08 1:30:00,9.43
3,2021-10-08 2:00:00,9.43
4,2021-10-08 2:30:00,10.0
5,2021-10-08 3:00:00,10.29
6,2021-10-08 3:30:00,10.4
7,2021-10-08 4:00:00,10.37
8,2021-10-08 4:30:00,10.4
9,2021-10-08 5:00:00,10.4
10,2021-10-08 5:30:00,10.37
11,2021-10-08 6:00:00,10.37
12,2021-10-08 6:30:00,10.39
13,2021-10-08 7:00:00,10.3
14,2021-10-08 7:30:00,10.29
15,2021-10-08 8:00:00,10.4
16,2021-10-08 8:30:00,10.04
17,2021-10-08 9:00:00,10.04
18,2021-10-08 9:30:00,10.52
19,2021-10-08 10:00:00,10.29
20,2021-10-08 10:30:00,8.55
21,2021-10-08 11:00:00,10.52
22,2021-10-08 11:30:00,10.58
23,2021-10-08 12:00:00,10.7
24,2021-10-08 12:30:00,8.25
25,2021-10-08 13:00:00,8.25
26,2021-10-08 13:30:00,8.12
27,2021-10-08 14:00:00,8.29
28,2021-10-08 14:30:00,8.3
29,2021-10-08 15:00:00,15.0
30,2021-10-08 15:30:00,13.27
31,2021-10-08 16:00:00,21.17
32,2021-10-08 16:30:00,45.04
33,2021-10-08 17:00:00,50.0
34,2021-10-08 17:30:00,40.78
35,2021-10-08 18:00:00,35.0
36,2021-10-08 18:30:00,21.17
37,2021-10-08 19:00:00,15.0
38,2021-10-08 19:30:00,11.6
39,2021-10-08 20:00:00,10.82
40,2021-10-08 20:30:00,10.77
41,2021-10-08 21:00:00,10.55
42,2021-10-08 21:30:00,8.48
43,2021-10-08 22:00:00,8.44
44,2021-10-08 22:30:00,8.3
45,2021-10-08 23:00:00,8.3
46,2021-10-08 23:30:00,8.29
47,2021-10-09 00:00:00,8.29
