,éûçè,ÉGÉäÉAÉvÉâÉCÉXñkäCìπ(â~/kWh)
0,2021-10-04 0:30:00,8.76
1,2021-10-04 1:00:00,8.78
2,2021-10-04 1:30:00,7.31
3,2021-10-04 2:00:00,7.41
4,2021-10-04 2:30:00,7.49
5,2021-10-04 3:00:00,7.57
6,2021-10-04 3:30:00,7.57
7,2021-10-04 4:00:00,7.57
8,2021-10-04 4:30:00,7.57
9,2021-10-04 5:00:00,11.0
10,2021-10-04 5:30:00,13.0
11,2021-10-04 6:00:00,13.1
12,2021-10-04 6:30:00,19.12
13,2021-10-04 7:00:00,9.66
14,2021-10-04 7:30:00,8.72
15,2021-10-04 8:00:00,8.61
16,2021-10-04 8:30:00,8.76
17,2021-10-04 9:00:00,8.81
18,2021-10-04 9:30:00,12.0
19,2021-10-04 10:00:00,20.0
20,2021-10-04 10:30:00,28.28
21,2021-10-04 11:00:00,28.22
22,2021-10-04 11:30:00,27.65
23,2021-10-04 12:00:00,27.45
24,2021-10-04 12:30:00,15.0
25,2021-10-04 13:00:00,22.45
26,2021-10-04 13:30:00,27.14
27,2021-10-04 14:00:00,39.13
28,2021-10-04 14:30:00,39.23
29,2021-10-04 15:00:00,60.0
30,2021-10-04 15:30:00,36.6
31,2021-10-04 16:00:00,50.0
32,2021-10-04 16:30:00,60.0
33,2021-10-04 17:00:00,60.0
34,2021-10-04 17:30:00,60.0
35,2021-10-04 18:00:00,60.0
36,2021-10-04 18:30:00,60.0
37,2021-10-04 19:00:00,40.36
38,2021-10-04 19:30:00,60.0
39,2021-10-04 20:00:00,60.0
40,2021-10-04 20:30:00,60.0
41,2021-10-04 21:00:00,60.0
42,2021-10-04 21:30:00,60.0
43,2021-10-04 22:00:00,60.0
44,2021-10-04 22:30:00,60.0
45,2021-10-04 23:00:00,60.0
46,2021-10-04 23:30:00,60.0
47,2021-10-05 00:00:00,60.0
