,éûçè,ÉGÉäÉAÉvÉâÉCÉXñkäCìπ(â~/kWh)
0,2021-12-08 0:30:00,16.54
1,2021-12-08 1:00:00,16.18
2,2021-12-08 1:30:00,16.1
3,2021-12-08 2:00:00,16.16
4,2021-12-08 2:30:00,16.15
5,2021-12-08 3:00:00,16.17
6,2021-12-08 3:30:00,16.46
7,2021-12-08 4:00:00,16.2
8,2021-12-08 4:30:00,16.58
9,2021-12-08 5:00:00,16.5
10,2021-12-08 5:30:00,16.75
11,2021-12-08 6:00:00,17.02
12,2021-12-08 6:30:00,25.0
13,2021-12-08 7:00:00,25.0
14,2021-12-08 7:30:00,25.0
15,2021-12-08 8:00:00,25.36
16,2021-12-08 8:30:00,18.55
17,2021-12-08 9:00:00,31.42
18,2021-12-08 9:30:00,32.57
19,2021-12-08 10:00:00,31.02
20,2021-12-08 10:30:00,12.0
21,2021-12-08 11:00:00,23.0
22,2021-12-08 11:30:00,12.0
23,2021-12-08 12:00:00,12.0
24,2021-12-08 12:30:00,7.6
25,2021-12-08 13:00:00,7.57
26,2021-12-08 13:30:00,21.0
27,2021-12-08 14:00:00,27.92
28,2021-12-08 14:30:00,27.89
29,2021-12-08 15:00:00,28.76
30,2021-12-08 15:30:00,29.93
31,2021-12-08 16:00:00,30.1
32,2021-12-08 16:30:00,31.44
33,2021-12-08 17:00:00,33.29
34,2021-12-08 17:30:00,31.55
35,2021-12-08 18:00:00,29.99
36,2021-12-08 18:30:00,30.0
37,2021-12-08 19:00:00,28.73
38,2021-12-08 19:30:00,28.11
39,2021-12-08 20:00:00,22.2
40,2021-12-08 20:30:00,25.29
41,2021-12-08 21:00:00,20.46
42,2021-12-08 21:30:00,20.46
43,2021-12-08 22:00:00,16.09
44,2021-12-08 22:30:00,16.09
45,2021-12-08 23:00:00,16.42
46,2021-12-08 23:30:00,13.13
47,2021-12-09 00:00:00,10.69
