,éûçè,ÉGÉäÉAÉvÉâÉCÉXñkäCìπ(â~/kWh)
0,2021-09-21 0:30:00,6.83
1,2021-09-21 1:00:00,6.56
2,2021-09-21 1:30:00,6.52
3,2021-09-21 2:00:00,6.52
4,2021-09-21 2:30:00,6.52
5,2021-09-21 3:00:00,6.52
6,2021-09-21 3:30:00,6.52
7,2021-09-21 4:00:00,10.59
8,2021-09-21 4:30:00,10.64
9,2021-09-21 5:00:00,10.64
10,2021-09-21 5:30:00,7.15
11,2021-09-21 6:00:00,6.73
12,2021-09-21 6:30:00,6.73
13,2021-09-21 7:00:00,6.61
14,2021-09-21 7:30:00,6.73
15,2021-09-21 8:00:00,6.73
16,2021-09-21 8:30:00,6.44
17,2021-09-21 9:00:00,6.45
18,2021-09-21 9:30:00,6.72
19,2021-09-21 10:00:00,6.69
20,2021-09-21 10:30:00,10.59
21,2021-09-21 11:00:00,10.59
22,2021-09-21 11:30:00,10.59
23,2021-09-21 12:00:00,10.59
24,2021-09-21 12:30:00,6.42
25,2021-09-21 13:00:00,6.72
26,2021-09-21 13:30:00,11.32
27,2021-09-21 14:00:00,11.47
28,2021-09-21 14:30:00,11.95
29,2021-09-21 15:00:00,13.47
30,2021-09-21 15:30:00,11.39
31,2021-09-21 16:00:00,11.45
32,2021-09-21 16:30:00,11.47
33,2021-09-21 17:00:00,11.38
34,2021-09-21 17:30:00,11.35
35,2021-09-21 18:00:00,11.35
36,2021-09-21 18:30:00,11.41
37,2021-09-21 19:00:00,11.41
38,2021-09-21 19:30:00,11.42
39,2021-09-21 20:00:00,11.51
40,2021-09-21 20:30:00,11.95
41,2021-09-21 21:00:00,11.33
42,2021-09-21 21:30:00,11.37
43,2021-09-21 22:00:00,11.01
44,2021-09-21 22:30:00,10.59
45,2021-09-21 23:00:00,10.4
46,2021-09-21 23:30:00,10.25
47,2021-09-22 00:00:00,7.59
