,機器名,あだ名,Uuid,Status
0,Camera,Camera,897c5cbc-8c2b-43b4-82de-b69b7581f391,offline
1,Pixi-HT,THERMO,53e3f647-d558-46d0-a1f8-54b150799ef0,online
2,SmartMeter,低圧スマメ,a1a121db-eac4-472a-8cff-f9ba83ffa0be,online
3,PWDBoard,分電盤,d56747ae-d615-4be1-b786-73de1457774f,online
4,SolarPW,太陽光発電システム,e89b9b86-cb73-409d-8042-6cd1a97cef8f,online
