,機器名,あだ名,Uuid,Status
0,Camera,Cam,3d101f8b-d9bd-4f5c-b0c8-02bfb8aa3e3d,offline
1,AirCon,エアコン,00f15b82-3322-4128-bbe9-96b82cebc540,online
2,PWDBoard,分電盤,835202be-ae8a-4257-bc03-11ad523acb44,online
3,SolarPW,KawamuraPV,33cb6ca7-ecee-4c9b-8a5c-85b274334be9,online
4,SolarPW,太陽光,8513de5a-3754-4060-b49a-cf7692768624,online
5,PWDBoard,Kawamura分電盤,23916aa7-5776-47be-b385-ba86b3da1c84,online
6,StgBattery,Battery,171284f6-ab89-482f-ac31-ac9858cb94a4,online
7,ElecWaterHeater,電気温水器,47b36d3e-7dd1-4a6b-bd0b-c2afb5751865,online
8,SmartMeter,SmartMeter4,9024cacc-e60c-493f-b3b8-3d4346eaa808,online
