,機器名,あだ名,Uuid,Status
0,Camera,Camera,2ca8c458-eee7-4e81-80c1-be8876557689,offline
1,SmartMeter,自宅のスマートメーター,22722fc5-7312-49ad-b041-1f4b1114ac47,online
